,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
doc_822,,,,X,,X,,,,
doc_823,,,,,,X,,,,
doc_824,,,,X,,X,,,,
doc_825,,,,,,X,,,,
doc_826,,,,X,,,,,,
doc_827,,,,X,,,,,,
doc_828,,,,X,,,,,,
doc_829,,,,X,,X,,,,
doc_830,,,,X,,X,,,,
doc_831,,,,X,,,,,,
doc_832,X,X,X,X,X,X,X,X,X,X
doc_833,,,,,,X,,,,
doc_834,,,,X,,X,,,,
doc_835,,,,X,,X,,,,
doc_836,,,,,,X,,,,
doc_837,,,,,,X,,,,
doc_838,X,X,X,X,X,X,X,X,X,X
doc_839,,,,X,,,,,,
doc_840,,,,X,,,,X,,
doc_841,,,,,,X,,X,,
doc_842,,,,,,,,X,,
doc_843,,,,,,X,,X,,
doc_844,,,,,,X,,,,
doc_845,,,,,,X,,,,
doc_846,,,,X,,,,,,
doc_847,,,,X,,,,X,,
doc_848,,,,,,X,,,,
doc_849,,,,X,,,,,,
doc_850,,,,X,,,,,,
doc_851,,,,X,,,,,,
doc_852,,,,X,,,,,,
doc_853,,,,X,,,,,,
doc_854,,,,,X,X,,,,
doc_855,,,,X,,X,,,,
doc_856,,,,X,,,,,,
doc_857,,,,X,,X,,X,X,
doc_858,,,,,,X,,X,,
doc_859,,,,X,,,,X,,
doc_860,,,,X,,X,,,,
doc_861,,,,X,,,,,,
doc_862,,,,,,X,,,,
doc_863,,,,X,,,,,,
doc_864,,,,X,,,,X,,
doc_865,,,,,,X,,,,
doc_866,,,,X,,,,,,
doc_867,,,,X,,,,,,
doc_868,,,,X,,X,,,,
doc_869,,,,,,X,,,,
doc_870,,,,,,X,,,,
doc_871,,,,,,X,,,,
doc_872,,,,X,,,,,,
doc_873,,,,X,,,,X,,
doc_874,,,,X,,X,,,,
doc_875,,,,X,X,,,X,,
doc_876,,,,,,X,,,,
doc_877,,,,X,,,,,X,
doc_878,,,,,,X,,,,
doc_879,,,,,,X,X,,,
doc_880,,,,,,X,,,,
doc_881,,,,,,X,,,,
doc_882,,,,,,X,,,,
doc_883,,,,,,,,X,,
doc_884,,,,X,,,,X,,
doc_885,,,,,,,,X,,
doc_886,,,,,,,,X,,
doc_887,,,,,,X,,,,
doc_888,,,,,,X,,,,
doc_889,,,,X,,,,X,,
doc_890,,,,X,,,,,,
doc_891,,,,X,,,,,,
doc_892,X,X,X,X,X,X,X,X,X,X
doc_893,,,,,,X,,,,
doc_894,,,,X,,,X,,,
doc_895,,,,X,,X,,,,
doc_896,,,,,,X,,,X,
doc_897,,,,,,X,,,,
doc_898,X,,,X,,X,,,,
doc_899,,,,,,X,,,,
doc_900,,,,X,,X,,,,
doc_901,X,,,,,X,,,,
doc_902,,,,,,,,X,,
doc_903,,,,,,,,X,,
doc_904,,,,,,,,X,,
doc_905,,,,,X,X,,,,
doc_906,X,,,,,X,,,,
doc_907,X,X,X,X,X,X,X,X,X,X
doc_908,X,,,X,,X,,,,
doc_909,,,,,,X,,,,
doc_910,,,,,,X,,,,
doc_911,,,,,,,,X,,
doc_912,,,,,,X,,X,,
doc_913,,,,,,X,,X,,
doc_914,,,,,,X,,,,
doc_915,,,,,,X,,,,
doc_916,,,,X,,,,X,,
doc_917,,,,X,,,,,,
doc_918,,,,X,,X,,,,
doc_919,,,,,,X,,,,
doc_920,,,,X,,,,,,
doc_921,,,,,,,,X,,
doc_922,,,,,,,,X,,
doc_923,,,,X,,,,X,,
doc_924,,,,X,X,X,,,,
doc_925,,,,,,X,,,,
doc_926,,,,,,X,,,,
doc_927,,,,X,,,,,,
doc_928,,,,,,X,,,,
doc_929,,,,,,X,,,,
doc_930,X,,,,,,,X,,
doc_931,,,,,,X,,,,
doc_932,,,,,,X,,,,
doc_933,,,,,,X,,,,
doc_934,,,,,,X,,,X,
doc_935,,,,X,,,,,,
doc_936,,,,,,X,,,,
doc_937,X,X,X,X,X,X,X,X,X,X
doc_938,X,X,X,X,X,X,X,X,X,X
doc_939,,,,,,X,,,,
doc_940,,,,,,X,,,,
doc_941,,,,,,X,,,,
doc_942,,,,,,X,,,,
doc_943,,,,,,X,,,,
doc_944,,,,,,X,,X,X,
doc_945,,,,,,X,,,,
doc_946,,X,,,,X,,,,
doc_947,,,,,,X,,,,
doc_948,,,,X,,,,,,
doc_949,,,,X,,,,,,
doc_950,,,,X,,,,,,
doc_951,,,,,,X,,,,
doc_952,,,,X,,,,,,
doc_953,,,,X,X,,,,,
doc_954,,,,X,,,,,,
doc_955,,,,X,,,,,,
doc_956,,,,X,,,,,,
doc_957,,,,X,,,,,,
doc_958,,,,X,,,,,,
doc_959,,,,X,,,,,,
doc_960,,,,X,,,,,,
doc_961,,,,X,,X,,,,
doc_962,,,,,,,,X,,
doc_963,,,,,,,,X,,
doc_964,,,,,,X,,,X,
doc_965,,,,X,,X,,,,
doc_966,,,,X,,,,,,
doc_967,,,,,,X,,,,
doc_968,,,,X,,,,X,,
doc_969,,,,X,,,,,,
doc_970,,,,X,,,,,,
doc_971,,,,X,,,,,,
doc_972,,,,X,,,,,,
doc_973,X,X,X,X,X,X,X,X,X,X
doc_974,,,,X,,,,,X,
doc_975,,,,X,,,,X,,
doc_976,,,,X,,X,,X,X,
doc_977,,,,X,,X,,,,
doc_978,,,,,,X,,,,
doc_979,,,,X,,X,,X,,
doc_980,X,,,X,,X,,,,
doc_981,X,,,,,,,X,,
doc_982,,,,,,,,X,,
doc_983,,,,,,X,,,,
doc_984,,,,,,X,,X,,
doc_985,,,,,,,,X,,
doc_986,,,,,,,,X,,
doc_987,,,,,,,,X,,
doc_988,,,,,,,,X,,
doc_989,,,,,,X,,,,
doc_990,X,,,X,,X,,,,
doc_991,,,,X,,,,X,,
doc_992,X,,,X,,,,,,
doc_993,X,X,,X,,X,,,,
doc_994,,,,X,,X,,,,
doc_995,,,,,,X,,,,
doc_996,,,,X,,X,,,,
doc_997,,,,,,,,X,,
doc_998,,,,,,X,,,,
doc_999,,,,,,X,,X,,
doc_1000,,,,,,X,,,,
doc_1001,X,,,X,,X,,X,,
doc_1002,,,,,,,,X,,
doc_1003,,,,,,X,,,,
doc_1004,,,,,,,,X,,
doc_1005,,,,,,,,X,,
doc_1006,,,,,,,,X,,
doc_1007,,,,X,,X,,,,
doc_1008,,,,,,X,,,X,
doc_1009,X,,,X,,,,X,,
doc_1010,,,,,,X,,,,
doc_1011,,,,,,X,,X,,
doc_1012,,,,X,,X,,,,
doc_1013,,,,X,,X,,,,
doc_1014,,,,,,X,,X,,
doc_1015,X,,,X,,,,,,
doc_1016,,,,X,X,X,,,,
doc_1017,X,X,X,X,X,X,X,X,X,X
doc_1018,X,,,X,,X,,X,,
doc_1019,,,,X,,X,,,,
doc_1020,,,,X,,,,X,,
doc_1021,,,,,,X,,,,
doc_1022,,,,,,X,,,,
doc_1023,,,,X,,,,,,
doc_1024,,,,,,,,X,,
doc_1025,,,,X,,,,,,
doc_1026,,,,X,,,,,,
doc_1027,,,,X,,X,,,,
doc_1028,,,,X,,,,,,
doc_1029,,,,X,,,,,,
doc_1030,,,,,X,X,,,,
doc_1031,,,X,,,X,,,,
doc_1032,,,,,,X,,X,,
doc_1033,,,,,,X,,,,
doc_1034,,,,,,,,X,,
doc_1035,,,,,,X,,,,
doc_1036,,,,,,X,,,,
doc_1037,,,,,,,,X,,
doc_1038,,,,X,,X,,X,,
doc_1039,,,,,,X,,,,
doc_1040,,,,,,X,,,,
doc_1041,,,,,,,,X,,
doc_1042,,,,,,X,,X,,
doc_1043,,,,X,,,,,,
doc_1044,,,,,,X,,,,
doc_1045,,,,,,,,X,,
doc_1046,,,,,,,X,X,,
doc_1047,,,,,,X,,X,,
doc_1048,,,,X,,X,,X,,
doc_1049,,,,X,,,,,,
doc_1050,,,,,,X,,,,
doc_1051,,,,,,X,,,,
doc_1052,,,,X,,,,,,
doc_1053,,,,X,,,,,,
doc_1054,,,,X,,,,,,
doc_1055,,,,X,,,,,,
doc_1056,,,,X,,,,,,
doc_1057,,,,X,,X,,,,
doc_1058,,,,X,,,,,,
doc_1059,,,,,,,,X,,
doc_1060,,,,X,,X,,,,
doc_1061,,,,X,,X,,,,
doc_1062,,,,X,,X,,X,,
doc_1063,,,,X,,X,,,,
doc_1064,,,,,,X,,X,,
doc_1065,,,,X,,X,,X,,
doc_1066,,,,,,,,X,,
doc_1067,,,,X,,,,,,
doc_1068,,,,,,X,,,,
doc_1069,,,,X,,,,,,
doc_1070,,,,,,,,X,,
doc_1071,,,,X,,X,,,,
doc_1072,,,,,,,,X,,
doc_1073,,,,X,,,,X,,
doc_1074,,,,X,,X,,,,
doc_1075,,,,X,,X,,,,
doc_1076,,,,,,,,X,,
doc_1077,,,,,,,,X,,
doc_1078,,,,X,,X,,X,,
doc_1079,,,,,,X,,,,
doc_1080,,,,,,,,X,,
doc_1081,X,X,X,X,X,X,X,X,X,X
doc_1082,,,,,,X,,,,
doc_1083,,,,,,X,,,,
doc_1084,,,,X,,,,X,,
doc_1085,X,,,,,,,X,,
doc_1086,,,,,,X,,,,
doc_1087,,,,,,X,X,,,
doc_1088,,,,,,,,X,,
doc_1089,,,,,,,,X,,
doc_1090,,,,,,X,,X,,
doc_1091,,,,X,,,,,,X
doc_1092,,,,,,X,,,,
doc_1093,X,X,X,X,X,X,X,X,X,X
doc_1094,,,,,,X,,X,,
doc_1095,,,,,,X,,,X,
doc_1096,,,,,,X,,,,
doc_1097,,,,,,X,,,,
doc_1098,,,,,,,,X,,
doc_1099,X,,,X,,,,,,
doc_1100,X,,,X,,,,X,,
doc_1101,,,,,,X,,X,,
doc_1102,,,,X,,,,,X,
doc_1103,,,,,,X,,,,
doc_1104,,,,,,X,,,,
doc_1105,,,,X,,X,,,X,
doc_1106,,,,X,,X,,,,
doc_1107,,,,X,,,,,X,
doc_1108,,,,,,X,,,,
doc_1109,,,,,,,,X,,
doc_1110,,,,X,,,,X,,
doc_1111,,,,,,,,X,,
doc_1112,,,,,,X,,,,
doc_1113,,,,,,X,,,,
doc_1114,,,,X,,X,,,,
doc_1115,,,,,,X,,,,
doc_1116,X,,,X,,X,,,,
doc_1117,,,,,,X,,X,,
doc_1118,,,,,,X,,,,
doc_1119,,,,X,X,,,,,
doc_1120,,,,X,X,,,,,
doc_1121,,,,,,X,,,,
doc_1122,,,,,,X,,,,
doc_1123,X,,,X,,,,X,,
doc_1124,X,,,X,,,,,,
doc_1125,,,,X,,X,,,,
doc_1126,,,,X,,,,,,
doc_1127,,,,X,,X,,,,
doc_1128,,,,X,,,,X,,
doc_1129,,,,X,,X,,,,
doc_1130,,,,X,,X,,,,
doc_1131,,,,,,X,,X,,
doc_1132,,,,X,,X,,,,
doc_1133,,,,,,X,,X,,
doc_1134,,,,X,,X,,X,,
doc_1135,,,,X,,,,,,
doc_1136,,,,X,,,,,,
doc_1137,,,,,,X,,X,,
doc_1138,,,,X,,,,,,
doc_1139,,,,X,,,,,,
doc_1140,,,,X,,,,,,
doc_1141,,,,X,,,,X,,
doc_1142,,,,X,,,,X,,
doc_1143,,,,X,,X,,,,
doc_1144,,,,X,,,,,,
doc_1145,,,,X,,,,,,
doc_1146,,,,,,X,,X,,
doc_1147,,,,X,,,,,,
doc_1148,,,,,,,,X,,
doc_1149,,,,,,,,X,,
doc_1150,,,,,,X,,X,,
doc_1151,,,,,,X,,,,
doc_1152,X,,,,,X,,,,
doc_1153,,,,X,,X,,,,
doc_1154,,,,X,,,,,,
doc_1155,,,,X,,X,,,,
doc_1156,,,,X,,,,,,
doc_1157,,,,,,X,,,,
doc_1158,,,,X,,,,,,
doc_1159,,,,X,,,,,,
doc_1160,,,,X,,,,,,
doc_1161,,,,X,,X,,,,
doc_1162,,,,X,,X,,X,,
doc_1163,,,,,,,,X,,
doc_1164,,,,X,X,,,X,,
doc_1165,,,,X,,X,,,,X
doc_1166,,,,X,,,,,,
doc_1167,,,,X,,X,,,,
doc_1168,,,,,,X,,X,,
doc_1169,,,,,,,,X,,
doc_1170,,,,,,,,X,,
doc_1171,,,,X,,,,X,,
doc_1172,,,,,,,,X,,
doc_1173,,,,,,X,,,,
doc_1174,,,,X,,,,,,
doc_1175,,,,,,X,,,,
doc_1176,,,,,,X,,,,
doc_1177,,,,X,,X,,,,
doc_1178,,,,,,X,,,,
doc_1179,,,,,,,,X,,
doc_1180,,,,X,,,,X,,
doc_1181,,,,,,X,,,,
doc_1182,,,,X,,X,,,,
doc_1183,,,,,,X,,,,
doc_1184,,,,X,,,,,,
doc_1185,,,,,,X,,,,
doc_1186,,,,,,X,,,,
doc_1187,,,,,,,,X,,
doc_1188,,,,,,X,,,,
doc_1189,X,X,X,X,X,X,X,X,X,X
doc_1190,X,,,,,X,,,,
doc_1191,,,,,,X,,X,,
doc_1192,,,,,,X,,,,X
doc_1193,,,,,,X,,,,
doc_1194,,,,,,X,,,,
doc_1195,,,,X,,,,,,
doc_1196,,,,X,,,,X,,
doc_1197,,,,X,,,,,,
doc_1198,,,,X,,,,X,,
doc_1199,,,,X,,,,,,
doc_1200,,,,X,,,,,,
doc_1201,,,,X,,,,,,
doc_1202,,,,X,,,,X,,
doc_1203,,,,X,X,X,,,,
doc_1204,,,,X,,,,X,X,
doc_1205,,,,X,,,,,,
doc_1206,,,,X,,,,,,
doc_1207,,,,X,,,,,,
doc_1208,,,,X,,,,,,
doc_1209,,,,X,,,,,,
doc_1210,,,,X,,X,,,,
doc_1211,,,,X,,,,X,,
doc_1212,,,,X,,X,,,,
doc_1213,,,,,,X,,X,,
doc_1214,,,,X,,X,,,,
doc_1215,,,,,,X,,,,
doc_1216,X,,,,,X,,,,
doc_1217,,,,,,X,,,X,
doc_1218,,,,,,X,,,,
doc_1219,,,,,,,,X,,
doc_1220,,,,X,,,,X,,
doc_1221,,,,X,,,,,,
doc_1222,,,,X,,X,,,,
doc_1223,,,,,,X,,,,
doc_1224,,,,X,,,,,,
doc_1225,,,,,,X,,,,
doc_1226,,,,,,,,X,,
doc_1227,,,,,,,,X,,
doc_1228,,,,,,,,X,,
doc_1229,,,,X,,,,,,
doc_1230,,,,X,,X,,,,
doc_1231,,,,,,X,,,,
doc_1232,,,,,,X,,,,
doc_1233,,,,,,X,,,,
doc_1234,,,,,,X,,,X,
doc_1235,,,,X,,,,,,
doc_1236,,,,,,,,X,,
doc_1237,,,,X,,,,,,
doc_1238,,,,X,,,,,,
