,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
doc_189,,,,X,,,,,,
doc_190,,,,X,,,,,,
doc_191,,,,,,,,X,,
doc_192,X,,,,,X,,X,,
doc_193,,,,,,,,X,,
doc_194,,,,X,,,,X,,
doc_195,,,,X,,X,,,,
doc_196,,,,X,,X,,,,
doc_197,,,,,,X,,,,
doc_198,,,,X,,X,,,,
doc_199,,,,,,,,X,,
doc_200,,,,X,,,,,,
doc_201,,,,,,X,,,,
doc_202,,,,,,X,,,,
doc_203,,,,,,X,,,,
doc_204,X,,,X,,,,,,
doc_205,,,,,,X,,X,,
doc_206,,,,,,X,,,,
doc_207,,,,X,,X,,,,
doc_208,,,,X,,X,,X,,
doc_209,,,,,,X,,,,
doc_210,,,,,,,,X,,
doc_211,,,,,,X,,,,
doc_212,,,,,,X,,,,
doc_213,,,,X,,,,,,
doc_214,,,,,,X,,,,
doc_215,,,,X,,X,,,,
doc_216,,,,X,,X,,,,
doc_217,,,,X,,,,,,
doc_218,,,,X,,X,,X,,
doc_219,,,,,,X,,,,
doc_220,,,,X,,X,,,,
doc_221,,,,X,,X,,,,
doc_222,,,,X,,,,X,,
doc_223,,,,,,,,X,,
doc_224,,,,X,,X,,,,
doc_225,,,,,,X,,,,
doc_226,,,,,,,,X,,
doc_227,,,,,,,,X,,
doc_228,,,,,,,,X,,
doc_229,,,,X,,,,,,
doc_230,,,,X,,,,X,X,
doc_231,,,,X,,X,,,,
doc_232,,,,X,,X,,,,
doc_233,,,,X,,X,,,,
doc_234,,,,X,,X,,,,
doc_235,,,,X,,X,,,,
doc_236,,,,,,X,,,,
doc_237,,,,,,X,,X,,
doc_238,,,,,,X,,,,
doc_239,,,,,,X,,X,,
doc_240,,,,,,X,,,,
doc_241,,,,,,,,X,X,
doc_242,,,,X,,,,X,X,
doc_243,,,,X,,,,X,X,
doc_244,,,,X,,,,,,
doc_245,,,,X,,,,,,
doc_246,,,,,,X,,,,
doc_247,,X,,X,,X,,,,
doc_248,,,,X,,,,,,
doc_249,X,,,,,X,,X,,
doc_250,,,,X,,X,,,,
doc_251,,,,X,,X,,,,
doc_252,,,,X,,,,X,,
doc_253,,,,,,X,,,,
doc_254,,,,X,X,X,,X,,
doc_255,,,,X,,,,,,
doc_256,,,,,,,,X,,X
doc_257,,,,,,X,,,,
doc_258,,,,X,,,,X,,
doc_259,X,,,,,,,X,,
doc_260,,,,X,,X,,,,
doc_261,,,,,,X,,,,
doc_262,,,,X,,X,,,,
doc_263,,,,,,X,,,,
doc_264,,,,X,,,,X,,
doc_265,,,,,,X,,,,
doc_266,,,,,,X,,,,X
doc_267,,,,X,,X,,,,
doc_268,,,,X,,,,,,
doc_269,,,,X,,X,,,,
doc_270,,,,,,,,X,,
doc_271,,,,,,X,,X,,
doc_272,,,,X,,,,,,
doc_273,,,,,,X,,,,
doc_274,,,,,,,,X,,
doc_275,,,,,,X,,,,
doc_276,,,,X,,X,,,,
doc_277,,,,X,,,,,,
doc_278,,,,X,,,,X,,
doc_279,,,,X,,X,,,,
doc_280,,,,X,,X,,,,
doc_281,,,,,,X,,X,,
doc_282,,,,X,,,,,,
doc_283,,,,X,,,,X,,
doc_284,,,,,,X,,,,
doc_285,,,,X,,X,,,,
doc_286,,,,X,,,,,,
doc_287,,,,X,,X,,,,
doc_288,,,,X,,,,,,
doc_289,,,,X,,,,,,
doc_290,,,,X,,X,,,,
doc_291,,,,X,,,,,,
doc_292,,,,X,,,,,,
doc_293,,,,X,,X,,X,,
doc_294,,,,,X,X,,,,
doc_295,,,,,,X,,,X,
doc_296,,,,,,X,,,,
doc_297,,,,,,X,,,,
doc_298,,,,X,,X,,X,,
doc_299,,X,,,,X,,,,
doc_300,,,,,,X,,,,
doc_301,,,,X,,,,,,
doc_302,,,,X,,,,,,
doc_303,,,,X,,X,,,,
doc_304,,,,X,,,,,,
doc_305,,,,X,,,,,,
doc_306,,,,X,,,,,,
doc_307,,,,X,,,,,,
doc_308,,,,X,,,,,,
doc_309,,,,X,,,,,,
doc_310,,,,X,,,,,,
doc_311,,,,X,,,,,,
doc_312,,,,X,,,,,,
doc_313,X,,,X,,X,,,,
doc_314,,,,,,X,,,,
doc_315,,,,,,,,X,,
doc_316,,,,X,,X,,,,
